id,type,description,tables,domain,related_concepts,agents_involved
User,concept,"Core user entity - employees/learners who take journeys and complete lessons. Hub table with 20 references. Links to clients, coaches, onboarding, ratings, and all learning activity.","nx_user_onboardings,nx_users",identity,"ActivityLog,Client,Coach,Employee,Journey,Rating","api-agent,auth-agent,db-agent,ui-agent"
Client,concept,"Client organization (employer/company) that purchases coaching programs. Clients own users, map to coaches, and manage departments. Hub with 5 incoming references.","client_password_resets,clients",identity,"ClientCoachMapping,Coach,Department,Employee,User","api-agent,auth-agent,db-agent"
Coach,concept,Coach entity with profile and availability. Coaches are mapped to clients and attend meetings. Hub with 4 incoming references.,"coach_availabilities,coach_password_resets,coach_profiles,coaches",identity,"Client,ClientCoachMapping,Meeting,User","api-agent,auth-agent,db-agent"
Employee,concept,Employee within a client organization. Linked to nx_users and departments. Represents the learner role within a company.,employees,identity,"Client,Department,User","api-agent,auth-agent,db-agent"
AdminUser,concept,Platform administrator with elevated privileges for managing the coaching platform.,nx_admin_users,identity,"Client,User","api-agent,auth-agent,db-agent"
PasswordReset,concept,"Password reset tokens for platform users. Separate tables for different user types (general, client, coach).",nx_password_resets,identity,"AdminUser,Client,Coach,User","api-agent,auth-agent,db-agent"
Journey,concept,"Learning journey - the top-level learning path. nx_journey_details is a hub table (10 refs) linking to chapters, lessons, ratings, backpacks, tasks, and journals. Core of the learning hierarchy: Journey > Chapter > Lesson.",nx_journey_details,learning,"Backpack,Chapter,Journal,Lesson,Rating,Task,User","api-agent,db-agent,learning-agent,ui-agent"
Chapter,concept,"Chapter within a journey - mid-level learning unit. nx_chapter_details is a hub table (13 refs) connecting journeys to lessons, ratings, sms, and tasks. Learning hierarchy: Journey > Chapter > Lesson.",nx_chapter_details,learning,"Backpack,Journey,Lesson,Rating,SMS,Task","api-agent,db-agent,learning-agent,ui-agent"
Lesson,concept,"Lesson - the atomic learning unit. nx_lessons is a hub (13 refs). Contains lesson details and slides. Links to journeys, chapters, ratings, tasks, backpacks, and SMS. Learning hierarchy: Journey > Chapter > Lesson.","lesson_details,lesson_slides,nx_lessons",learning,"Backpack,Chapter,Journey,Rating,Task,VideoLibrary","api-agent,db-agent,learning-agent,ui-agent"
Backpack,concept,"Content backpack - saved/collected learning materials tied to journeys, chapters, and lessons. 5833 rows - indicates active use. References journey_details, chapter_details, lessons, and slides.",backpacks,content,"Chapter,Journey,Lesson,User","api-agent,content-agent,db-agent,ui-agent"
Document,concept,Uploaded documents and chatbot knowledge base documents for the learning platform.,"chatbot_documents,documents",content,"Chatbot,User","api-agent,content-agent,db-agent,ui-agent"
VideoLibrary,concept,"Video content library linked to journeys, chapters, and lessons. Referenced by lesson_slides for video-based learning content.",video_libraries,content,"Chapter,Journey,Lesson","api-agent,content-agent,db-agent,ui-agent"
Rating,concept,"User ratings for learning content at every level (journey, chapter, lesson, slide). nx_user_ratings has 6 references spanning the full learning hierarchy. old_ratings preserves historical rating data. 3657 total rows.","nx_user_ratings,old_ratings",engagement,"Chapter,Journey,Lesson,User","api-agent,db-agent,engagement-agent,ui-agent"
Task,concept,"Tasks assigned within learning journeys. 2829 rows. Links to journey_details, chapter_details, lessons, and slides. Created by users.",tasks,engagement,"Chapter,Journey,Lesson,User","api-agent,db-agent,engagement-agent,ui-agent"
Meeting,concept,Coaching meetings/sessions between coaches and learners. Includes attendee tracking with participant roles.,"meeting_attendees,meetings",engagement,"Coach,User","api-agent,db-agent,engagement-agent,ui-agent"
Journal,concept,"User journal entries tied to learning progress. Links to users, journey details, chapter details, and lessons. Reflective learning tool.",nx_journal_details,engagement,"Chapter,Journey,Lesson,User","api-agent,db-agent,engagement-agent,ui-agent"
SMS,concept,SMS communication system for learning nudges and reminders. Includes scheduling and dynamic content tied to chapters and lessons. 1323 detail rows.,"dynamic_sms_details,sms_details,sms_schedules",communication,"Chapter,Lesson,User","api-agent,comm-agent,db-agent"
Notification,concept,"Notification history tracking for users, coaches, and clients. Multi-stakeholder notification delivery.",notification_histories,communication,"Client,Coach,User","api-agent,comm-agent,db-agent"
Mail,concept,Email communication system with transfer tracking. mail_communication_details is a hub with self-referencing for threaded conversations.,"mail_communication_details,mail_transfers",communication,"Notification,User","api-agent,comm-agent,db-agent"
Chatbot,concept,AI chatbot for learning support. Tracks sessions and conversation history with question/answer pairs and timing.,"chatbot_histories,chatbot_sessions",communication,"Document,User","api-agent,comm-agent,db-agent"
ActivityLog,concept,Polymorphic activity log (Laravel Spatie). 57210 rows (77% of all data). Tracks all user actions with subject/causer polymorphism. 30 distinct log types.,activity_log,communication,"AdminUser,Coach,User","api-agent,comm-agent,db-agent"
ClientCoachMapping,concept,Many-to-many mapping between clients and coaches. Core relationship table for the coaching business model.,client_coach_mappings,platform,"Client,Coach","api-agent,db-agent"
Department,concept,"Organizational departments within client companies. Employees belong to departments, departments belong to clients.",departments,platform,"Client,Employee","api-agent,db-agent"
BackgroundJob,concept,"Laravel queue/job infrastructure for async processing (email sending, SMS dispatch, etc.).",jobs,platform,"Mail,Notification,SMS","api-agent,db-agent"
ToryContentTag,concept,Claude Opus-generated personality trait tags per lesson. Multi-pass confidence-gated tagging with coach review. Foundation for similarity scoring and roadmap matching.,tory_content_tags,learning,"Lesson,ToryLearnerProfile,ToryRoadmapItem","api-agent,db-agent,learning-agent,tory-agent,ui-agent"
ToryLearnerProfile,concept,"Claude-interpreted personality profile from EPP (29 dimensions) + onboarding Q&A. Includes trait vector, motivation cluster, strengths, gaps, and user-facing narrative.",tory_learner_profiles,identity,"ToryContentTag,ToryReassessment,ToryRoadmap,User","api-agent,auth-agent,db-agent,tory-agent"
ToryRoadmap,concept,"Personalized adaptive learning path per learner. Versioned, with pedagogy mode snapshot. Tracks completion and generation rationale.",tory_roadmaps,learning,"ToryCoachOverride,ToryLearnerProfile,ToryProgressSnapshot,ToryRoadmapItem","api-agent,db-agent,learning-agent,tory-agent,ui-agent"
ToryRoadmapItem,concept,"Individual lesson assignment within a roadmap. Includes match score, rationale, critical flag (guardrail), and discovery phase marker.",tory_roadmap_items,learning,"Lesson,ToryCoachOverride,ToryContentTag,ToryRoadmap","api-agent,db-agent,learning-agent,tory-agent,ui-agent"
ToryReassessment,concept,"Periodic re-evaluation records (mini every 4-6 weeks, full EPP quarterly). Tracks profile drift and triggers path adaptation.",tory_reassessments,engagement,"ToryLearnerProfile,ToryRoadmap,User","api-agent,db-agent,engagement-agent,tory-agent,ui-agent"
ToryCoachOverride,concept,Coach curation actions on roadmaps (reorder/swap/lock/unlock). Guardrails prevent removal of critical lessons. Tracks divergence.,tory_coach_overrides,engagement,"Coach,ToryRoadmap,ToryRoadmapItem","api-agent,db-agent,engagement-agent,tory-agent,ui-agent"
ToryProgressSnapshot,concept,"Aggregated HR dashboard data per user per snapshot date. Includes completion, engagement, coach effectiveness, Tory accuracy, and team aggregate support.",tory_progress_snapshots,platform,"Client,Department,ToryRoadmap,User","api-agent,db-agent,tory-agent"
ToryPedagogyConfig,concept,"Client-company pedagogy preference: gap-fill (A), strength-lead (B), or configurable blend (C) with ratio. Set at company onboarding.",tory_pedagogy_config,identity,"Client,ToryRoadmap","api-agent,auth-agent,db-agent,tory-agent"
